time 	 LH 	 RH
7691	 7691	 7691 
002.903	81.6189	18.3811	
002.967	81.8834	18.1166	
003.027	82.2638	17.7362	
003.091	82.6810	17.3190	
003.155	83.0516	16.9484	
003.215	83.4242	16.5758	
003.279	83.7544	16.2456	
003.343	83.9792	16.0208	
003.403	84.2249	15.7751	
003.467	84.4678	15.5322	
003.527	84.7901	15.2099	
003.591	85.1189	14.8811	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.018	50.0000	50.0000	
000.022	50.0000	50.0000	
000.072	53.6460	46.3540	
000.132	55.3357	44.6643	
000.197	56.9622	43.0378	
000.260	58.5033	41.4967	
000.320	59.9885	40.0115	
000.385	61.3310	38.6690	
000.449	62.6898	37.3102	
000.512	64.0423	35.9577	
000.573	65.3985	34.6015	
000.632	66.6862	33.3138	
000.697	67.8392	32.1608	
000.761	68.9466	31.0534	
000.821	70.0219	29.9781	
000.884	71.0126	28.9874	
000.948	71.8557	28.1443	
001.012	72.6106	27.3894	
001.073	73.3425	26.6575	
001.133	73.9911	26.0089	
001.197	74.5483	25.4517	
001.260	75.1588	24.8412	
001.320	75.7219	24.2781	
001.384	76.1977	23.8023	
001.448	76.4914	23.5086	
001.512	76.6961	23.3039	
001.572	76.7565	23.2435	
001.632	76.7805	23.2195	
001.696	76.9461	23.0539	
001.761	77.1670	22.8330	
001.821	77.2407	22.7593	
001.884	77.4059	22.5941	
001.949	77.6379	22.3621	
002.012	77.7838	22.2162	
002.072	77.9287	22.0713	
002.132	78.0842	21.9158	
002.196	78.3031	21.6969	
002.260	78.4321	21.5679	
002.320	78.6613	21.3387	
002.384	78.9026	21.0974	
002.449	79.1658	20.8342	
002.512	79.4577	20.5423	
002.572	79.7076	20.2924	
002.632	80.1028	19.8972	
002.696	80.4604	19.5396	
002.760	80.7416	19.2584	
002.820	81.0590	18.9410	
002.885	81.3686	18.6314	
002.948	81.6567	18.3433	
003.012	81.9977	18.0023	
003.072	82.3576	17.6424	
003.132	82.7218	17.2782	
003.197	83.0144	16.9856	
003.260	83.3184	16.6816	
003.320	83.4926	16.5074	
003.384	83.5249	16.4751	
003.448	83.4310	16.5690	
003.512	83.2363	16.7637	
003.572	83.0839	16.9161	
003.632	82.9659	17.0341	
003.696	82.8406	17.1594	
003.761	82.8201	17.1799	
003.821	82.9256	17.0744	
003.884	83.0319	16.9681	
003.948	83.0667	16.9333	
004.012	83.1215	16.8785	
004.072	83.1841	16.8159	
004.132	83.2039	16.7961	
004.196	83.1943	16.8057	
004.260	83.0933	16.9067	
004.320	83.2280	16.7720	
004.384	83.4614	16.5386	
004.448	83.7693	16.2307	
004.512	84.0943	15.9057	
004.572	84.4160	15.5840	
004.632	84.6848	15.3152	
004.696	84.9293	15.0707	
004.760	85.1226	14.8774	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.013	50.0000	50.0000	
000.014	51.7694	48.2306	
000.074	53.5597	46.4403	
000.142	55.2668	44.7332	
000.202	56.9274	43.0726	
000.262	58.5191	41.4809	
000.326	59.9821	40.0179	
000.390	61.3260	38.6740	
000.454	62.6288	37.3712	
000.514	63.8905	36.1095	
000.574	65.0392	34.9608	
000.642	66.0428	33.9572	
000.702	67.0047	32.9953	
000.762	67.9397	32.0603	
000.826	68.8029	31.1971	
000.890	69.6463	30.3537	
000.954	70.5061	29.4939	
001.014	71.3533	28.6467	
001.074	72.1413	27.8587	
001.142	72.9481	27.0519	
001.202	73.7788	26.2212	
001.262	74.6120	25.3880	
001.326	75.3591	24.6409	
001.390	76.0665	23.9335	
001.453	76.6373	23.3627	
001.514	77.0901	22.9099	
001.573	77.6311	22.3689	
001.642	78.1523	21.8477	
001.702	78.6643	21.3357	
001.762	79.1551	20.8449	
001.826	79.6121	20.3879	
001.890	80.0201	19.9799	
001.953	80.3146	19.6854	
002.013	80.5086	19.4914	
002.073	80.6757	19.3243	
002.141	80.8699	19.1301	
002.201	81.1839	18.8161	
002.261	81.5903	18.4097	
002.326	82.0585	17.9415	
002.389	82.4992	17.5008	
002.453	82.9240	17.0760	
002.513	83.3270	16.6730	
002.573	83.6971	16.3029	
002.641	84.0658	15.9342	
002.701	84.4350	15.5650	
002.761	84.7938	15.2062	
002.825	85.1476	14.8524	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.063	50.0000	50.0000	
000.065	51.8366	48.1634	
000.128	53.6466	46.3534	
000.188	55.3510	44.6490	
000.248	56.9548	43.0452	
000.312	58.5635	41.4365	
000.376	60.1739	39.8261	
000.440	61.7590	38.2410	
000.500	63.2911	36.7089	
000.564	64.7111	35.2889	
000.628	66.0817	33.9183	
000.688	67.3119	32.6881	
000.748	68.4599	31.5401	
000.812	69.5987	30.4013	
000.876	70.6803	29.3197	
000.940	71.7290	28.2710	
001.000	72.6431	27.3569	
001.064	73.5352	26.4648	
001.128	74.3099	25.6901	
001.188	75.0818	24.9182	
001.248	75.7526	24.2474	
001.312	76.2944	23.7056	
001.376	76.6528	23.3472	
001.440	76.9511	23.0489	
001.500	77.2564	22.7436	
001.564	77.6386	22.3614	
001.628	77.8853	22.1147	
001.688	78.0960	21.9040	
001.748	78.2906	21.7094	
001.812	78.4031	21.5969	
001.876	78.5570	21.4430	
001.940	78.7309	21.2691	
002.000	78.8179	21.1821	
002.064	78.8381	21.1619	
002.128	78.9006	21.0994	
002.188	78.8374	21.1626	
002.248	78.9773	21.0227	
002.312	79.2176	20.7824	
002.376	79.5315	20.4685	
002.440	79.8081	20.1919	
002.500	80.1857	19.8143	
002.564	80.5420	19.4580	
002.628	80.9802	19.0198	
002.688	81.4362	18.5639	
002.748	81.8578	18.1422	
002.812	82.2920	17.7080	
002.876	82.7368	17.2632	
002.940	83.1295	16.8705	
003.000	83.4984	16.5016	
003.064	83.8748	16.1252	
003.128	84.2745	15.7255	
003.188	84.6844	15.3156	
003.248	85.0381	14.9619	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.061	50.0000	50.0000	
000.063	51.4671	48.5329	
000.122	52.7581	47.2419	
000.185	54.0127	45.9873	
000.246	55.2638	44.7362	
000.310	56.4527	43.5473	
000.373	57.6375	42.3625	
000.433	58.8676	41.1324	
000.497	60.0714	39.9286	
000.562	61.2400	38.7600	
000.622	62.4408	37.5592	
000.686	63.6851	36.3149	
000.745	64.8888	35.1112	
000.810	65.9943	34.0057	
000.873	66.9721	33.0279	
000.933	67.8412	32.1588	
000.998	68.7261	31.2739	
001.061	69.6472	30.3528	
001.122	70.5500	29.4500	
001.186	71.2932	28.7068	
001.246	71.9401	28.0599	
001.310	72.6261	27.3739	
001.374	73.2307	26.7693	
001.433	73.7820	26.2180	
001.497	74.3665	25.6335	
001.561	74.9022	25.0978	
001.622	75.3338	24.6662	
001.685	75.6773	24.3227	
001.745	75.9936	24.0064	
001.809	76.1993	23.8007	
001.873	76.4889	23.5111	
001.933	76.8022	23.1978	
001.997	77.0340	22.9660	
002.062	77.2097	22.7903	
002.122	77.3632	22.6368	
002.185	77.5415	22.4585	
002.245	77.7324	22.2676	
002.309	77.9366	22.0634	
002.373	78.1582	21.8418	
002.433	78.3094	21.6906	
002.497	78.4228	21.5772	
002.561	78.5012	21.4988	
002.621	78.6290	21.3710	
002.685	78.7090	21.2910	
002.745	78.8698	21.1302	
