time 	 LH 	 RH
7701	 7701	 7701 
005.253	65.4688	34.5312	
005.317	65.6131	34.3869	
005.381	65.9062	34.0938	
005.441	66.1743	33.8257	
005.505	66.4391	33.5609	
005.565	66.6597	33.3403	
005.629	66.7340	33.2660	
005.693	66.6997	33.3003	
005.752	66.5773	33.4227	
005.817	66.4636	33.5364	
005.881	66.3919	33.6081	
005.941	66.3360	33.6640	
006.005	66.2854	33.7146	
006.065	66.4675	33.5325	
006.129	66.6823	33.3177	
006.193	66.9466	33.0534	
006.253	67.2796	32.7204	
006.317	67.6707	32.3293	
006.381	67.9030	32.0970	
006.441	68.2155	31.7845	
006.505	68.3915	31.6085	
006.565	68.4635	31.5365	
006.629	68.5903	31.4097	
006.693	68.6049	31.3951	
006.753	68.5023	31.4977	
006.817	68.4594	31.5406	
006.881	68.3356	31.6644	
006.941	68.3579	31.6421	
007.005	68.3132	31.6868	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.017	50.0000	50.0000	
000.021	50.0000	50.0000	
000.073	52.4132	47.5868	
000.137	53.4800	46.5200	
000.197	54.5349	45.4651	
000.257	55.6741	44.3259	
000.321	56.7661	43.2339	
000.385	57.7751	42.2249	
000.445	58.7284	41.2716	
000.509	59.4409	40.5591	
000.573	60.0721	39.9279	
000.637	60.6299	39.3701	
000.697	61.2907	38.7093	
000.757	61.7997	38.2003	
000.821	62.2969	37.7031	
000.885	62.8323	37.1677	
000.945	63.5011	36.4989	
001.009	64.2894	35.7106	
001.073	65.0800	34.9200	
001.137	65.7866	34.2134	
001.197	66.5299	33.4701	
001.257	67.1471	32.8529	
001.321	67.7436	32.2564	
001.385	68.3205	31.6795	
001.445	68.7789	31.2211	
001.509	69.3408	30.6592	
001.573	69.8629	30.1371	
001.637	70.3257	29.6743	
001.697	70.7199	29.2801	
001.757	71.1415	28.8585	
001.821	71.5163	28.4837	
001.885	71.9003	28.0996	
001.945	72.2026	27.7974	
002.009	72.4333	27.5667	
002.073	72.7197	27.2803	
002.137	73.0091	26.9909	
002.197	73.2861	26.7139	
002.257	73.6222	26.3778	
002.321	73.8805	26.1195	
002.385	73.9517	26.0483	
002.445	73.9828	26.0172	
002.509	73.8975	26.1025	
002.573	73.8688	26.1312	
002.637	73.9585	26.0416	
002.697	73.9305	26.0695	
002.757	73.8619	26.1381	
002.821	73.7702	26.2298	
002.885	73.7143	26.2857	
002.946	73.6603	26.3396	
003.009	73.6240	26.3760	
003.073	73.6921	26.3079	
003.137	73.9670	26.0330	
003.197	74.2525	25.7475	
003.257	74.6213	25.3787	
003.321	75.0592	24.9408	
003.385	75.5041	24.4959	
003.445	75.9571	24.0429	
003.509	76.3939	23.6061	
003.573	76.7739	23.2261	
003.637	77.1715	22.8285	
003.697	77.5442	22.4558	
003.757	77.9549	22.0451	
003.821	78.4190	21.5810	
003.885	78.7804	21.2196	
003.945	79.0910	20.9090	
004.009	79.3451	20.6549	
004.073	79.5289	20.4711	
004.137	79.6460	20.3540	
004.197	79.7183	20.2817	
004.257	79.5851	20.4149	
004.321	79.2867	20.7133	
004.385	79.2104	20.7896	
004.445	79.2195	20.7805	
004.509	79.3155	20.6845	
004.573	79.5375	20.4625	
004.637	79.7339	20.2661	
004.697	79.8523	20.1477	
004.757	80.0138	19.9862	
004.821	80.1422	19.8578	
004.885	80.3320	19.6680	
004.945	80.5601	19.4399	
005.009	80.8582	19.1418	
005.073	81.1157	18.8843	
005.137	81.3118	18.6882	
005.197	81.5211	18.4789	
005.257	81.7286	18.2714	
005.321	81.9450	18.0550	
005.385	82.1141	17.8859	
005.445	82.3589	17.6411	
005.509	82.6434	17.3566	
005.573	82.9095	17.0905	
005.637	83.2232	16.7768	
005.697	83.5589	16.4411	
005.757	83.8578	16.1422	
005.821	84.1677	15.8323	
005.885	84.4650	15.5350	
005.945	84.7078	15.2922	
006.009	84.8491	15.1509	
006.073	84.9387	15.0613	
006.137	85.0450	14.9550	
7693	 7693	 7693 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.056	50.0000	50.0000	
000.059	50.2801	49.7199	
000.121	50.6742	49.3258	
000.185	51.1760	48.8240	
000.245	51.6519	48.3481	
000.305	52.2142	47.7858	
000.373	52.7835	47.2165	
000.433	53.2614	46.7386	
000.493	53.7858	46.2142	
000.557	54.2593	45.7407	
000.621	54.6685	45.3315	
000.685	55.0649	44.9351	
000.745	55.1989	44.8011	
000.805	55.3898	44.6102	
000.873	55.6475	44.3525	
000.934	55.8994	44.1005	
000.994	56.1892	43.8108	
001.057	56.4528	43.5472	
001.121	56.9300	43.0700	
001.186	57.4202	42.5798	
001.245	57.9496	42.0504	
001.305	58.3629	41.6371	
001.373	58.6809	41.3191	
001.433	58.8461	41.1539	
001.493	58.8130	41.1870	
001.557	59.0335	40.9665	
001.622	59.3721	40.6279	
001.686	59.8228	40.1772	
001.746	60.2386	39.7614	
001.806	60.5058	39.4942	
001.873	60.5930	39.4070	
001.933	60.5825	39.4175	
001.993	60.5923	39.4077	
002.057	60.5860	39.4140	
002.121	60.4475	39.5525	
002.185	60.5308	39.4692	
002.245	60.5753	39.4247	
002.305	60.5642	39.4358	
002.374	60.5605	39.4395	
002.433	60.6216	39.3784	
002.493	60.6912	39.3088	
002.557	60.6759	39.3241	
002.622	60.6705	39.3295	
002.686	60.5497	39.4503	
002.745	60.8066	39.1934	
002.806	61.1056	38.8944	
002.874	61.5390	38.4610	
002.933	61.9996	38.0004	
002.993	62.4703	37.5297	
003.058	62.8360	37.1640	
003.121	63.0860	36.9140	
003.185	63.0324	36.9676	
003.245	62.9886	37.0114	
003.305	62.9893	37.0107	
003.374	63.0500	36.9500	
003.434	63.0117	36.9883	
003.494	63.1898	36.8102	
003.558	63.4911	36.5089	
003.621	63.7797	36.2203	
003.685	63.9431	36.0569	
003.746	63.9195	36.0805	
003.805	63.8510	36.1490	
003.873	63.7254	36.2746	
003.933	63.6641	36.3359	
003.993	63.6648	36.3352	
004.057	63.7035	36.2965	
004.121	63.9173	36.0827	
004.185	64.2236	35.7764	
004.246	64.5538	35.4462	
004.306	64.7943	35.2056	
004.374	64.9592	35.0408	
004.434	65.1215	34.8785	
004.493	65.1929	34.8071	
004.558	65.2138	34.7863	
004.622	65.3677	34.6323	
004.686	65.6267	34.3733	
004.746	65.9069	34.0931	
004.805	66.1395	33.8605	
004.873	66.4109	33.5891	
004.933	66.6210	33.3790	
004.994	66.7928	33.2072	
005.057	66.8828	33.1172	
005.121	66.9662	33.0338	
005.186	66.9981	33.0019	
005.245	67.1461	32.8539	
005.305	67.4322	32.5678	
005.373	67.6662	32.3338	
005.434	67.8818	32.1182	
005.493	68.0521	31.9479	
005.557	68.0969	31.9031	
005.622	68.0292	31.9708	
005.686	67.9640	32.0360	
005.746	67.9932	32.0068	
005.806	68.1982	31.8018	
005.874	68.4147	31.5853	
005.933	68.6720	31.3280	
005.994	68.9945	31.0055	
006.058	69.2872	30.7128	
006.121	69.3329	30.6671	
006.186	69.2599	30.7401	
006.246	68.9704	31.0296	
006.305	68.5620	31.4380	
006.374	68.1620	31.8380	
006.434	67.7710	32.2290	
006.494	67.4715	32.5285	
006.558	67.2676	32.7324	
006.621	67.0362	32.9638	
006.685	66.7648	33.2352	
006.745	66.3104	33.6896	
006.805	65.7243	34.2757	
006.873	65.1148	34.8852	
006.933	64.5893	35.4107	
006.993	64.0453	35.9547	
007.057	63.6012	36.3988	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.017	50.0000	50.0000	
000.021	51.1261	48.8739	
000.078	52.2849	47.7151	
000.142	53.4753	46.5247	
000.206	54.3922	45.6078	
000.269	55.2314	44.7686	
000.330	56.2632	43.7368	
000.394	57.3058	42.6942	
000.457	58.3349	41.6651	
000.517	59.3607	40.6393	
000.578	60.2859	39.7141	
000.642	61.2120	38.7880	
000.706	62.1193	37.8807	
000.770	63.0022	36.9978	
000.829	63.8632	36.1368	
000.894	64.6624	35.3376	
000.958	65.4360	34.5639	
001.018	66.2724	33.7276	
001.078	67.1614	32.8386	
001.142	67.9878	32.0122	
001.205	68.8379	31.1621	
001.269	69.6932	30.3068	
001.330	70.5090	29.4910	
001.394	71.2758	28.7242	
001.458	71.8788	28.1212	
001.517	72.3361	27.6639	
001.577	72.7637	27.2363	
001.641	73.1590	26.8410	
001.705	73.5615	26.4385	
001.769	73.9381	26.0619	
001.829	74.2994	25.7006	
001.893	74.5556	25.4444	
001.957	74.8229	25.1771	
002.018	75.0481	24.9519	
002.077	75.1009	24.8991	
002.141	75.1316	24.8684	
002.205	75.1133	24.8867	
002.269	75.0528	24.9472	
002.329	75.0651	24.9349	
002.393	74.9945	25.0055	
002.457	74.8870	25.1130	
002.517	74.7814	25.2186	
002.577	74.6362	25.3638	
002.641	74.4156	25.5844	
002.706	74.2593	25.7407	
002.769	74.0168	25.9832	
002.829	73.6599	26.3401	
002.893	73.4792	26.5208	
002.957	73.4230	26.5770	
003.017	73.3608	26.6392	
003.077	73.2192	26.7808	
003.142	72.9185	27.0815	
003.206	72.7990	27.2010	
003.270	72.6611	27.3389	
003.329	72.4859	27.5141	
003.393	72.3871	27.6129	
003.458	72.4101	27.5899	
003.517	72.4489	27.5511	
003.577	72.4887	27.5113	
003.641	72.4321	27.5679	
003.706	72.3882	27.6118	
003.770	72.3982	27.6018	
003.830	72.5376	27.4624	
003.894	72.5834	27.4166	
003.958	72.4683	27.5317	
004.018	72.3459	27.6541	
004.078	72.3376	27.6624	
004.142	72.3804	27.6196	
004.206	72.4732	27.5268	
004.270	72.5804	27.4196	
004.330	72.6227	27.3773	
004.394	72.5391	27.4609	
004.458	72.3680	27.6320	
004.518	72.3127	27.6873	
004.577	72.3007	27.6993	
004.641	72.4222	27.5778	
004.705	72.4869	27.5131	
004.769	72.5393	27.4607	
004.830	72.4614	27.5386	
004.893	72.5572	27.4428	
004.957	72.8586	27.1414	
005.017	73.1556	26.8444	
005.077	73.5548	26.4452	
